2017-03-28 13:32:25 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2017-03-28 13:32:26 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2017-03-28 14:14:52 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2017-03-28 14:14:52 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2018-04-02 12:26:20 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2018-04-02 12:26:27 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2018-04-02 12:55:09 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2018-04-02 13:30:10 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2018-04-02 13:32:55 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2018-04-02 13:36:53 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2018-04-02 13:37:09 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2018-04-02 13:39:12 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2018-04-02 13:41:52 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2018-04-02 13:43:16 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2018-04-02 13:44:17 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
2018-04-02 14:20:07 WARNING logger.<module>: settings.LOGGING_FILE not set; default is workflow.log
